,U10003,U12630,U10082,U00330,U10248,U12046,U13458,U10052,U10291,U14809,U00481,U11652,U13190,U13274,U13498,U11645,U12017,U00675,U13105,U13218,U13232,U13660,U11608,U02704,U11554,U10170,U13320,U12213,U10058,U08101,U10064,U10037,U10398,U00333,U01000,U10116,U10147,U00640,U08278,U00566,U10281,U00570,U10087,U00606,U00463,U00747,U10380,U10148,U11600,U01010,U13234,U10187,U10067,U10192,U12060,U12069,U01082,U00307,U07783,U10088,U11593,U11611,U13510,U11417,U09639,U00888,U11414,U11594,U13066,U13729,U10280,U08359,U13086,U11551,U13597,U11475,U13386,U13635,U10397,U09809,U08216,U08245,U10120,U11834,U00656,U00487,U11656,U10175,U01016,U14350,U01054,U00240,U00456,U11744,U11375,U10039,U10041,U11724,U11381,U11650,U11479,U11398,U11433,U15063,U10416,U07759,U00854,U10598,U00687,U08163,U11216,U11527,U11038,U11541,U00474,U13151,U11947,U11431,U10210,U11844,U11738,U11663,U11579,U10323,U11576,U11514,U01012,U07885,U11725,U12054,U11477,U11668,U10596,U11814,U11380,U10349,U00798,U11537,U11384,U11553,U11472,U13092,U00657,U11742,U10434,U10153,U11589,U10167,U07715,U10550,U00254,U13508,U11603,U13666,U10282,U13102,U13137,U11684,U13258,U11404,U00413,U13099,U11715,U11439,U15672,U13189,U13704,U13495,U13400,U13297,U13279,U13094,U13427,U11410,U11546,U13152,U11545,U12057,U11530,U15474,U13599,U13104,U13116,U13103,U13340,U13220,U13150,U14073,U14074,U11441,U13255,U13280,U13265,U11606,U10159,U15473,U16354,U13652,U16399,U13261,U16343,U11595,U13225,U13322,U14965,U13499,U13191,U11721,U11519
P77791,"1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P87974,"0,25000","0,20000","0,42857","0,00000","0,50000","0,16667","0,25000","0,33333","0,00000","0,33333","0,00000","0,66667","0,20000","0,50000","0,33333","0,25000","0,25000","0,25000","0,33333","0,33333","0,33333","0,50000","1,00000","0,50000","0,20000","0,33333","0,50000","0,33333","0,25000","0,00000","0,00000","0,00000","0,00000","0,33333","0,33333","0,20000","0,25000","0,33333","0,25000","0,33333","0,25000","0,00000","0,50000","0,20000","1,00000","0,33333","0,22222","1,00000","0,33333","0,00000","0,33333","0,50000","0,00000","0,00000","0,33333","0,00000","1,00000","0,00000","0,00000","0,00000","0,14286","0,00000","0,20000","0,00000","0,00000","0,33333","0,50000","0,00000","0,33333","0,00000","0,00000","0,00000","0,25000","1,00000","0,20000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,33333","0,50000","0,50000","0,33333","0,00000","0,00000","0,00000","0,00000","0,14286","0,00000","0,14286","0,33333","0,00000","0,00000","0,00000","0,00000","0,25000","0,00000","0,33333","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,25000","0,00000","0,66667","0,33333","0,00000","0,33333","0,33333","0,33333","0,50000","0,00000","0,33333","1,00000","0,33333","0,00000","0,00000","0,33333","0,00000","0,00000","0,33333","0,33333","0,25000","0,00000","0,50000","0,20000","1,00000","1,00000","0,00000","0,14286","0,00000","0,33333","0,00000","0,33333","0,00000","0,66667","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,20000","0,12500","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,33333","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P29040,"0,50000","0,25000","1,00000","0,06667","0,25000","1,00000","0,11111","0,33333","0,25000","0,50000","0,42857","0,00000","0,00000","1,00000","0,50000","0,50000","0,33333","0,00000","0,50000","1,00000","0,00000","0,33333","1,00000","0,50000","0,00000","0,20000","0,50000","0,50000","0,00000","0,00000","0,25000","0,00000","0,00000","0,00000","0,50000","0,16667","1,00000","0,50000","0,00000","1,00000","0,00000","0,00000","1,00000","1,00000","1,00000","0,50000","0,50000","0,33333","0,18182","0,00000","0,25000","1,00000","0,50000","0,00000","0,20000","0,00000","1,00000","0,00000","0,00000","0,00000","0,50000","1,00000","0,00000","1,00000","0,00000","0,16667","0,00000","0,33333","0,00000","0,00000","0,00000","0,00000","0,50000","0,25000","0,33333","0,25000","0,20000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,33333","0,25000","0,50000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,50000","0,00000","0,33333","1,00000","1,00000","0,00000","0,33333","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,14286","0,00000","0,33333","0,00000","0,50000","0,16667","0,00000","0,50000","0,12500","0,25000","0,33333","0,00000","0,25000","0,33333","0,50000","0,75000","0,00000","0,20000","0,00000","0,00000","0,16667","0,00000","1,00000","0,00000","0,12500","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,08333","0,00000","0,50000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,33333","0,33333","0,00000","0,50000","0,11111","0,00000","0,00000","0,00000","1,00000","0,20000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","1,00000","0,33333","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P93588,"1,00000","1,00000","0,50000","0,50000","1,00000","0,50000","0,25000","0,50000","0,00000","1,00000","1,00000","1,00000","0,00000","1,00000","1,00000","1,00000","1,00000","1,00000","1,00000","0,50000","0,00000","1,00000","1,00000","1,00000","0,33333","0,00000","1,00000","1,00000","0,00000","0,00000","1,00000","1,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,33333","0,00000","0,50000","0,00000","0,00000","1,00000","0,00000","1,00000","1,00000","1,00000","0,50000","1,00000","0,00000","1,00000","1,00000","1,00000","0,00000","1,00000","1,00000","1,00000","0,00000","0,00000","1,00000","1,00000","0,50000","0,00000","1,00000","1,00000","0,50000","1,00000","1,00000","0,00000","0,00000","1,00000","0,50000","1,00000","1,00000","0,50000","0,50000","1,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","1,00000","1,00000","1,00000","1,00000","0,00000","0,00000","1,00000","1,00000","1,00000","1,00000","1,00000","1,00000","0,50000","0,00000","1,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","1,00000","0,00000","0,00000","0,00000","1,00000","0,00000","1,00000","1,00000","1,00000","0,00000","1,00000","0,50000","0,00000","1,00000","0,00000","1,00000","1,00000","0,00000","0,00000","1,00000","1,00000","1,00000","0,50000","1,00000","1,00000","1,00000","0,50000","1,00000","1,00000","1,00000","0,00000","1,00000","0,00000","0,00000","1,00000","1,00000","0,00000","1,00000","0,00000","0,00000","1,00000","0,00000","0,50000","0,00000","1,00000","0,00000","1,00000","0,66667","1,00000","0,00000","0,50000","1,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P80618,"1,00000","0,50000","0,00000","0,00000","1,00000","0,50000","0,33333","0,33333","0,00000","0,50000","1,00000","0,50000","0,00000","1,00000","0,00000","1,00000","0,00000","0,00000","1,00000","1,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","1,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,16667","0,50000","0,00000","0,00000","0,50000","0,00000","0,00000","0,33333","0,40000","1,00000","1,00000","0,00000","0,50000","1,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","1,00000","0,00000","1,00000","0,00000","0,25000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","1,00000","0,00000","0,50000","1,00000","0,00000","0,00000","0,00000","1,00000","0,25000","1,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","1,00000","0,00000","1,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","1,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,42857","1,00000","0,50000","0,00000","0,00000","1,00000","1,00000","0,00000","0,00000","0,25000","0,00000","1,00000","0,00000","1,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","1,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P25054,"0,66667","0,20000","0,09091","0,25000","0,33333","0,25000","0,33333","0,33333","0,12500","0,00000","0,50000","0,20000","0,00000","0,14286","0,50000","1,00000","0,33333","0,00000","0,50000","0,25000","0,00000","0,25000","0,50000","0,50000","0,16667","1,00000","0,50000","0,66667","0,00000","0,00000","0,50000","0,25000","0,00000","0,00000","0,25000","0,12500","0,33333","0,25000","0,12500","0,25000","0,00000","0,57143","0,33333","0,50000","1,00000","0,25000","0,16667","0,33333","0,20000","0,00000","0,33333","0,50000","1,00000","0,00000","0,20000","0,00000","1,00000","0,50000","0,00000","0,00000","0,50000","0,12500","0,33333","0,00000","0,00000","0,25000","0,00000","0,33333","0,00000","0,00000","0,09091","0,00000","0,33333","0,20000","0,25000","0,33333","0,16667","0,00000","0,33333","0,00000","0,00000","0,00000","0,33333","0,14286","0,00000","0,60000","0,12500","0,50000","0,00000","0,50000","0,20000","0,00000","0,25000","0,00000","0,00000","0,50000","0,50000","0,00000","0,50000","0,33333","0,50000","0,00000","0,20000","0,00000","0,11111","0,00000","0,00000","0,00000","0,50000","0,00000","0,20000","0,25000","0,00000","0,00000","0,00000","0,25000","0,00000","0,10000","1,00000","0,11111","0,33333","0,20000","0,06667","0,50000","0,50000","0,07143","0,14286","0,09091","0,00000","0,08333","0,33333","0,66667","0,50000","0,09091","0,11111","0,33333","0,25000","0,11111","0,20000","0,33333","1,00000","0,12500","0,00000","0,07143","0,00000","0,22222","0,50000","0,25000","0,25000","0,00000","0,00000","0,00000","0,33333","0,00000","0,00000","0,00000","0,33333","0,50000","0,33333","0,50000","0,00000","0,33333","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,33333","0,16667","0,20000","0,50000","0,20000","0,00000","0,20000","0,16667","0,00000","0,00000","0,00000","1,00000","0,25000","0,50000","0,00000","1,00000","0,00000","0,00000","0,00000","1,00000","1,00000","0,00000","1,00000","0,25000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P71775,"1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,33333","0,00000","0,00000","0,00000","0,25000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,33333","0,00000","0,40000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,33333","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,33333","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P87082,"1,00000","0,50000","1,00000","0,00000","0,00000","0,33333","0,33333","0,33333","0,00000","0,00000","0,00000","0,33333","1,00000","1,00000","1,00000","1,00000","1,00000","0,50000","1,00000","0,25000","0,50000","0,50000","1,00000","0,33333","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,25000","0,50000","0,33333","0,00000","1,00000","0,14286","1,00000","0,00000","0,00000","0,50000","0,00000","1,00000","1,00000","1,00000","0,50000","0,16667","0,00000","0,75000","1,00000","0,00000","0,00000","0,50000","0,00000","1,00000","0,00000","0,00000","0,00000","1,00000","0,00000","1,00000","0,00000","0,00000","0,25000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,20000","1,00000","1,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,50000","0,50000","0,00000","0,33333","0,50000","0,50000","1,00000","0,00000","0,50000","0,25000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,16667","0,16667","0,50000","0,00000","0,00000","0,00000","1,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,33333","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P37072,"0,22222","0,10000","0,00000","0,00000","0,00000","0,06667","0,07143","0,16667","0,00000","0,00000","1,00000","0,25000","0,00000","0,33333","0,00000","1,00000","0,00000","0,00000","0,33333","1,00000","0,00000","0,00000","1,00000","0,33333","0,00000","0,00000","0,00000","0,20000","0,00000","0,00000","0,25000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,33333","0,00000","0,00000","0,00000","0,40000","0,20000","0,66667","0,00000","0,33333","0,33333","0,20000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,33333","0,00000","0,00000","0,33333","0,00000","0,16667","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,11111","0,00000","0,50000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,25000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,50000","0,50000","0,00000","0,14286","0,33333","0,00000","0,00000","0,00000","1,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,11111","0,20000","0,00000","0,00000","0,25000","0,00000","1,00000","0,50000","1,00000","0,00000","0,09091","0,00000","0,00000","0,00000","1,00000","0,00000","0,28571","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
P77907,"0,20000","0,20000","1,00000","0,20000","0,20000","0,50000","0,14286","1,00000","0,14286","1,00000","0,50000","0,50000","0,33333","1,00000","1,00000","1,00000","0,33333","0,66667","1,00000","0,50000","0,50000","1,00000","1,00000","0,50000","0,66667","0,25000","0,33333","0,50000","0,00000","0,33333","0,50000","0,40000","0,20000","0,16667","0,16667","0,66667","0,25000","0,33333","0,50000","1,00000","0,50000","0,66667","1,00000","0,66667","1,00000","0,50000","0,60000","0,66667","1,00000","1,00000","0,50000","0,50000","1,00000","1,00000","0,22222","0,66667","0,28571","0,00000","0,00000","0,50000","1,00000","0,33333","0,50000","0,33333","0,09091","1,00000","1,00000","0,50000","0,33333","1,00000","0,20000","0,18182","0,33333","0,00000","0,10000","0,25000","1,00000","0,00000","1,00000","0,00000","0,00000","0,25000","0,25000","0,25000","0,50000","0,25000","0,33333","1,00000","0,33333","1,00000","0,33333","0,00000","0,14286","0,33333","0,33333","0,00000","0,50000","0,00000","0,50000","0,14286","1,00000","0,00000","0,33333","0,16667","0,23077","0,14286","0,33333","0,00000","1,00000","0,00000","0,50000","0,25000","0,00000","0,00000","0,00000","0,25000","0,25000","0,11111","0,16667","0,33333","0,33333","0,50000","0,12500","0,20000","0,33333","0,16667","0,25000","0,50000","0,20000","0,33333","1,00000","0,33333","0,16667","0,50000","0,14286","0,33333","0,16667","0,50000","0,50000","0,33333","1,00000","0,50000","0,20000","1,00000","0,00000","0,60000","0,33333","0,50000","0,66667","0,00000","0,00000","0,50000","0,14286","0,50000","0,50000","1,00000","0,16667","0,50000","0,25000","0,50000","1,00000","1,00000","0,00000","0,00000","0,00000","0,25000","0,33333","0,12500","0,50000","0,33333","0,20000","0,50000","0,20000","0,20000","0,12500","0,11111","0,00000","1,00000","0,50000","1,00000","0,33333","1,00000","0,50000","1,00000","0,33333","1,00000","1,00000","0,66667","1,00000","0,50000","0,66667","0,50000","1,00000","0,50000","0,50000","0,50000","0,25000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,25000","0,00000","0,50000","1,00000"
P98957,"0,21429","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,50000","0,00000","0,40000","0,12500","0,00000","0,00000","0,00000","1,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,25000","0,00000","0,42857","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,50000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,25000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,20000","0,50000","0,00000","0,00000","0,00000","0,00000","0,16667","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000","0,00000"
